cardNames	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125
Annoy-o-Tron	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	0	0	0	0	0	0	0	0	2	2	1	2	2	2	0	0	0	0	2	2	2	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	2	0	0	2	2	0	0	0	2	2	2	0	0	0	2	0	0	0	0	0	0	2	0	0
Cogmaster	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	2	2	0	2	2	2	0	0	0	0	2	2	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	2	0	0	2	2	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Crackle	2	0	2	2	0	0	0	2	2	2	2	1	0	2	2	0	0	0	0	2	0	0	2	2	2	0	0	0	0	2	0	2	0	2	2	2	0	0	0	0	0	2	0	0	0	0	2	2	2	2	2	1	2	2	2	2	0	2	2	2	1	0	0	2	2	2	2	2	2	2	0	2	2	0	0	1	2	0	1	2	1	2	2	2	1	2	2	0	0	0	2	0	2	2	2	2	2	1	2	1	2	2	2	0	2	2	0	1	2	2	2	0	0	2	2	2
Doomhammer	1	1	2	2	0	1	1	2	2	2	2	0	0	0	2	0	0	0	0	2	1	0	2	2	1	0	0	0	0	2	0	2	0	2	2	2	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	2	0	2	1	1	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1
Feral Spirit	2	2	2	2	0	1	0	2	2	0	2	2	1	2	2	2	0	0	0	2	0	2	2	0	1	0	0	0	2	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	2	2	2	2	0	2	1	2	2	0	0	1	0	0	0	2	1	1	2	0	0	0	0	2	2	0	2	0	0	0	2	0	1	2	2	1	2	0	0	2	0	2	2	1	1	1	2	0	2	2	0	0	1	2	2	0	0	0	2	2	2	0	2	0	2	2	0	0	2	2	2
Flametongue Totem	1	2	2	2	1	2	2	0	2	1	0	2	0	0	0	2	2	2	2	1	0	0	2	0	1	0	0	0	2	1	2	2	2	0	0	0	2	2	2	2	2	0	2	2	2	0	0	0	0	1	1	2	2	1	0	2	2	0	1	1	2	2	2	2	0	1	1	1	0	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2
Lava Burst	2	0	2	2	1	0	0	2	2	2	2	0	0	0	2	0	0	0	0	2	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	0	0	0	0	1	1	1	0	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0
Lightning Bolt	2	1	2	2	1	2	2	2	2	2	2	2	0	2	2	2	0	0	0	2	0	0	2	2	2	0	0	0	0	2	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	2	2	2	2	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
Mechwarper	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	2	2	0	2	2	2	0	0	0	0	2	2	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	2	0	0	2	2	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Piloted Shredder	2	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	2	2	2	0	0	0	2	2	2	0	2	2	2	2	2	2	0	0	0	2	2	0	2	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	0	0	1	0	2	2	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	0	0	2	2	2	0	1	2	2	2	2	2	0	2	0	0	0	0	0	0	0	0	0
