"","n1","n2","n3","n4","n5","others","p1","p2","p3","p4","p5","sum"
"1",0,3,4,0,0,23,0,0.602,0.945,0.956,0.967,248
"2",0,4,3,0,0,23,0,0.729,0.941,0.958,0.967,247
"3",1,2,4,0,0,23,0.236,0.58,0.927,0.953,0.969,247
"4",0,5,1,1,0,23,0,0.804,0.903,0.96,0.97,247
"5",1,3,3,0,0,23,0.245,0.708,0.933,0.951,0.966,246
"6",2,1,4,0,0,23,0.42,0.639,0.931,0.951,0.966,246
"7",0,6,1,0,0,23,0,0.878,0.933,0.957,0.967,245
"8",2,2,3,0,0,23,0.389,0.698,0.926,0.955,0.968,245
"9",3,0,4,0,0,23,0.543,0.612,0.939,0.957,0.975,245
"10",1,5,0,1,0,23,0.22,0.881,0.913,0.965,0.978,245
"11",1,5,1,0,0,23,0.199,0.87,0.935,0.956,0.967,244
"12",2,3,2,0,0,23,0.428,0.821,0.936,0.953,0.964,244
"13",3,1,3,0,0,23,0.561,0.715,0.938,0.951,0.961,244
"14",2,4,0,1,0,23,0.398,0.876,0.906,0.966,0.975,244
"15",4,0,2,1,0,23,0.652,0.711,0.91,0.961,0.968,244
"16",1,6,0,0,0,23,0.226,0.901,0.933,0.952,0.966,243
"17",3,2,2,0,0,23,0.567,0.813,0.945,0.96,0.968,243
"18",4,0,3,0,0,23,0.657,0.711,0.942,0.957,0.967,243
"19",0,3,3,2,0,22,0,0.598,0.902,0.969,0.985,243
"20",0,3,4,0,1,22,0,0.624,0.933,0.957,0.984,243
"21",3,3,1,0,0,23,0.564,0.873,0.932,0.953,0.971,242
"22",4,1,2,0,0,23,0.675,0.808,0.936,0.959,0.975,242
"23",0,3,4,1,0,22,0,0.638,0.938,0.976,0.986,242
"24",0,4,2,2,0,22,0,0.739,0.904,0.971,0.975,242
"25",0,4,3,0,1,22,0,0.73,0.93,0.952,0.981,242
"26",1,2,4,0,1,22,0.241,0.646,0.93,0.951,0.983,242
"27",0,5,1,1,1,22,0,0.801,0.903,0.954,0.979,242
"28",3,4,0,0,0,23,0.581,0.921,0.948,0.963,0.975,241
"29",4,2,1,0,0,23,0.659,0.862,0.936,0.958,0.97,241
"30",5,0,2,0,0,23,0.77,0.813,0.94,0.963,0.971,241
"31",0,3,5,0,0,22,0,0.596,0.961,0.977,0.985,241
"32",0,4,3,1,0,22,0,0.72,0.93,0.969,0.98,241
"33",1,2,4,1,0,22,0.218,0.626,0.931,0.972,0.983,241
"34",1,3,2,2,0,22,0.239,0.708,0.905,0.97,0.983,241
"35",0,5,2,0,1,22,0,0.805,0.933,0.953,0.981,241
"36",1,3,3,0,1,22,0.219,0.716,0.926,0.953,0.985,241
"37",2,1,4,0,1,22,0.428,0.638,0.935,0.955,0.986,241
"38",0,6,0,1,1,22,0,0.854,0.903,0.958,0.98,241
"39",1,4,1,1,1,22,0.229,0.814,0.906,0.963,0.981,241
"40",0,4,4,0,0,22,0,0.729,0.96,0.97,0.975,240
"41",1,2,5,0,0,22,0.221,0.586,0.963,0.975,0.985,240
"42",6,0,0,1,0,23,0.812,0.858,0.902,0.956,0.972,240
"43",0,5,2,1,0,22,0,0.792,0.933,0.971,0.986,240
"44",1,3,3,1,0,22,0.241,0.71,0.943,0.974,0.985,240
"45",2,1,4,1,0,22,0.402,0.625,0.933,0.979,0.987,240
"46",2,2,2,2,0,22,0.421,0.733,0.906,0.971,0.977,240
"47",0,6,1,0,1,22,0,0.847,0.929,0.953,0.979,240
"48",1,4,2,0,1,22,0.24,0.81,0.942,0.956,0.979,240
"49",2,2,3,0,1,22,0.453,0.756,0.949,0.961,0.982,240
"50",3,1,2,1,1,22,0.552,0.731,0.906,0.954,0.977,240
"51",5,2,0,0,0,23,0.749,0.905,0.936,0.959,0.968,239
"52",6,0,1,0,0,23,0.836,0.872,0.945,0.959,0.979,239
"53",0,5,3,0,0,22,0,0.81,0.959,0.972,0.986,239
"54",1,3,4,0,0,22,0.21,0.719,0.965,0.98,0.988,239
"55",2,1,5,0,0,22,0.421,0.609,0.959,0.972,0.982,239
"56",0,6,1,1,0,22,0,0.856,0.927,0.962,0.979,239
"57",1,4,2,1,0,22,0.247,0.826,0.935,0.968,0.981,239
"58",2,2,3,1,0,22,0.377,0.693,0.93,0.973,0.982,239
"59",3,0,4,1,0,22,0.531,0.58,0.937,0.973,0.986,239
"60",1,5,0,2,0,22,0.243,0.866,0.905,0.968,0.979,239
"61",2,3,1,2,0,22,0.437,0.821,0.905,0.977,0.984,239
"62",1,5,1,0,1,22,0.234,0.873,0.931,0.961,0.984,239
"63",3,1,3,0,1,22,0.557,0.723,0.926,0.952,0.981,239
"64",3,2,1,1,1,22,0.569,0.82,0.903,0.958,0.985,239
"65",6,1,0,0,0,23,0.82,0.904,0.932,0.951,0.967,238
"66",0,6,2,0,0,22,0,0.872,0.97,0.982,0.991,238
"67",1,4,3,0,0,22,0.235,0.808,0.963,0.977,0.987,238
"68",2,2,4,0,0,22,0.4,0.7,0.962,0.97,0.981,238
"69",3,0,5,0,0,22,0.558,0.606,0.961,0.976,0.985,238
"70",1,5,1,1,0,22,0.253,0.871,0.938,0.973,0.986,238
"71",2,3,2,1,0,22,0.385,0.802,0.932,0.969,0.978,238
"72",3,1,3,1,0,22,0.544,0.713,0.932,0.973,0.982,238
"73",2,4,0,2,0,22,0.413,0.882,0.909,0.975,0.98,238
"74",3,2,1,2,0,22,0.537,0.812,0.908,0.971,0.98,238
"75",1,6,0,0,1,22,0.226,0.909,0.929,0.951,0.988,238
"76",2,4,1,0,1,22,0.423,0.886,0.95,0.964,0.989,238
"77",3,2,2,0,1,22,0.538,0.787,0.942,0.964,0.994,238
"78",4,0,3,0,1,22,0.689,0.735,0.944,0.964,0.985,238
"79",0,3,4,0,2,21,0,0.615,0.932,0.952,0.992,238
"80",1,5,2,0,0,22,0.259,0.885,0.96,0.966,0.978,237
"81",2,3,3,0,0,22,0.428,0.799,0.95,0.962,0.977,237
"82",3,1,4,0,0,22,0.575,0.747,0.961,0.972,0.981,237
"83",1,6,0,1,0,22,0.225,0.917,0.935,0.965,0.978,237
"84",2,4,1,1,0,22,0.414,0.857,0.932,0.974,0.984,237
"85",3,2,2,1,0,22,0.562,0.812,0.927,0.975,0.981,237
"86",4,0,3,1,0,22,0.664,0.722,0.945,0.985,0.989,237
"87",3,3,0,2,0,22,0.576,0.867,0.906,0.967,0.977,237
"88",4,1,1,2,0,22,0.684,0.821,0.918,0.983,0.988,237
"89",0,3,3,3,0,21,0,0.627,0.906,0.987,0.992,237
"90",2,5,0,0,1,22,0.426,0.925,0.947,0.96,0.987,237
"91",3,3,1,0,1,22,0.556,0.869,0.944,0.962,0.992,237
"92",5,0,1,1,1,22,0.759,0.799,0.905,0.958,0.984,237
"93",0,3,4,1,1,21,0,0.598,0.925,0.969,0.989,237
"94",0,4,2,2,1,21,0,0.707,0.906,0.974,0.991,237
"95",0,4,3,0,2,21,0,0.719,0.94,0.954,0.993,237
"96",2,1,3,1,2,21,0.403,0.6,0.907,0.962,0.995,237
"97",1,6,1,0,0,22,0.24,0.911,0.961,0.969,0.982,236
"98",2,4,2,0,0,22,0.399,0.875,0.954,0.972,0.981,236
"99",3,2,3,0,0,22,0.541,0.793,0.953,0.966,0.978,236
"100",4,0,4,0,0,22,0.672,0.726,0.959,0.97,0.979,236
"101",2,5,0,1,0,22,0.399,0.901,0.925,0.967,0.975,236
"102",3,3,1,1,0,22,0.568,0.877,0.938,0.973,0.986,236
"103",4,1,2,1,0,22,0.681,0.813,0.931,0.975,0.985,236
"104",0,3,4,2,0,21,0,0.598,0.926,0.986,0.991,236
"105",4,2,1,0,1,22,0.67,0.878,0.942,0.956,0.989,236
"106",0,3,5,0,1,21,0,0.621,0.974,0.981,0.989,236
